data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo,chuva_lag1,chuva_lag2,pressao_lag1,chuva_mm7d,temp_mm7d,umid_mm7d,pressao_delta,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12
2015-02-21,0.2,1012.3375,23.979166666666668,27.9,21.2,81.875,2015,0,1.0,2.6,1005.3458333333332,0.6285714285714297,24.05238095238095,76.66666666666666,6.991666666666788,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-22,0.0,1012.2708333333334,24.5,29.3,22.1,81.20833333333333,2015,0,0.2,1.0,1012.3375,0.6571428571428581,24.125,77.375,-0.06666666666660603,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-23,0.0,1010.3541666666666,24.929166666666664,29.7,21.7,80.41666666666667,2015,0,0.0,0.2,1012.2708333333334,0.6571428571428581,24.23690476190476,79.33333333333333,-1.9166666666667425,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-24,20.4,1009.1583333333332,25.104166666666668,30.1,20.5,82.58333333333333,2015,0,0.0,0.0,1010.3541666666666,0.6571428571428581,24.47321428571428,79.97023809523809,-1.1958333333334394,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-25,0.0,1008.2291666666666,25.64583333333333,32.0,20.3,73.79166666666667,2015,0,20.4,0.0,1009.1583333333332,3.457142857142858,24.666666666666668,80.54761904761904,-0.9291666666665606,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-26,26.6,1006.9416666666666,24.291666666666668,29.9,20.8,84.33333333333333,2015,0,0.0,20.4,1008.2291666666666,3.457142857142858,24.79404761904762,80.32738095238095,-1.2875000000000227,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-27,5.4,1004.5666666666666,23.45,28.1,20.7,86.08333333333333,2015,0,26.6,0.0,1006.9416666666666,6.885714285714286,24.583333333333336,81.38690476190474,-2.375,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-28,0.0,1010.8125,22.98333333333333,26.5,18.8,73.125,2015,0,5.4,26.6,1004.5666666666666,7.514285714285715,24.557142857142857,81.47023809523809,6.245833333333394,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-01,0.0,1011.0333333333332,23.675,30.0,19.5,68.04166666666667,2015,0,0.0,5.4,1010.8125,7.4857142857142875,24.414880952380948,80.22023809523809,0.22083333333318933,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-02,0.0,1008.9166666666666,25.625,31.0,20.6,65.41666666666667,2015,0,0.0,0.0,1011.0333333333332,7.4857142857142875,24.297023809523807,78.33928571428571,-2.1166666666665606,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-03,0.0,1007.6333333333332,27.40416666666667,34.2,22.5,67.875,2015,0,0.0,0.0,1008.9166666666666,7.4857142857142875,24.396428571428572,76.19642857142857,-1.2833333333334167,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-04,27.0,1006.4583333333334,27.09583333333333,33.7,22.5,69.79166666666667,2015,0,0.0,0.0,1007.6333333333332,4.571428571428574,24.724999999999998,74.09523809523809,-1.1749999999998408,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-05,5.2,1006.725,24.825,28.0,23.2,88.95833333333333,2015,0,27.0,0.0,1006.4583333333334,8.42857142857143,24.932142857142857,73.52380952380952,0.2666666666666515,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-06,0.0,1008.425,24.425,29.0,21.3,79.875,2015,0,5.2,27.0,1006.725,5.371428571428573,25.00833333333333,74.18452380952381,1.6999999999999318,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-07,0.0,1008.975,23.52916666666667,28.2,19.7,73.25,2015,0,0.0,5.2,1008.425,4.600000000000001,25.14761904761905,73.29761904761905,0.5500000000000682,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-08,0.0,1008.225,24.8875,30.3,21.0,78.58333333333333,2015,0,0.0,0.0,1008.975,4.600000000000001,25.22559523809524,73.31547619047619,-0.75,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-09,0.6000000000000001,1007.6625,25.5375,29.7,23.0,80.16666666666667,2015,0,0.0,0.0,1008.225,4.600000000000001,25.398809523809522,74.82142857142857,-0.5625,0,0,1,0,0,0,0,0,0,0,0,0
